nb_series;cruncher_v2;cruncher_v3;RJDemetra;rjd3x13
995;23.2530000000006;15.4159999999993;230.416000000001;54.9600000000009
398;15.9809999999998;12.353000000001;92.8910000000014;25.3539999999994
338;13.2049999999999;8.68599999999969;72.7010000000009;19.9889999999996
323;13.0110000000004;8.54700000000048;66.1759999999995;18.905999999999
520;15.4570000000003;10.366;113.382;32.9830000000002
436;15.978000000001;12.6529999999984;91.3619999999992;26.7060000000001
827;20.7780000000002;13.0720000000001;184.569;49.152
296;10.3090000000011;9.16100000000006;62.616;18.8720000000012
287;10.9310000000005;8.39800000000105;61.7739999999994;16.4650000000001
784;21.1209999999992;13.2119999999995;167.826000000001;47.2980000000007
452;13.4619999999995;9.82900000000154;96.8160000000007;26.6489999999994
323;11.1459999999988;7.8700000000008;67.9349999999995;20.1929999999993
507;14.0100000000002;8.88900000000103;109.416000000001;29.4530000000013
687;17.6729999999989;12.1730000000007;151.787999999999;41.7360000000008
992;24.4400000000005;14.7430000000004;215.574999999999;57.1959999999999
249;9.57600000000093;7.35300000000097;50.6859999999997;14.637999999999
701;17.7240000000002;11.5030000000006;154.173000000001;39.9799999999996
695;18.5769999999993;14.1320000000014;148.627;43.476999999999
921;20.8770000000004;16.7389999999996;201.556999999999;53.2820000000011
803;19.0519999999997;12.7019999999993;176.161;49.8140000000003
810;20.8469999999998;14.0280000000002;173.845000000001;46.9600000000009
792;19.021999999999;12.1910000000007;177.907999999999;49.2510000000002
268;10.7820000000011;8.96800000000076;56.8209999999999;16.402
396;12.4609999999993;9.75500000000102;86.4329999999991;22.8580000000002
271;11.5030000000006;8.26000000000022;58.4060000000009;15.9490000000005
321;10.9150000000009;7.68900000000031;71.268;19.1859999999997
256;10.2579999999998;7.78799999999865;52.1149999999998;15.2309999999998
506;14.9639999999999;10.4529999999995;115.805;30.6499999999996
242;9.82500000000073;8.34399999999914;53.3100000000013;14.6939999999995
838;20.0330000000013;13.9899999999998;184.769;51.3299999999999
900;22.5200000000004;13.8329999999987;196.760999999999;55.3829999999998
322;11.9200000000019;8.16100000000006;70.2890000000007;19.1989999999969
323;11.2489999999998;7.44900000000052;71.9739999999983;18.6390000000029
343;10.6739999999991;7.60699999999997;74.0040000000008;20.262999999999
106;6.12900000000081;5.03299999999945;22.8610000000008;7.17199999999866
992;24.3650000000016;16.637999999999;225.290000000001;58.4680000000008
447;13.5689999999995;10.1810000000005;99.7880000000005;26.0269999999982
294;10.5840000000026;7.87800000000061;66.7810000000027;17.8230000000003
992;25.9120000000003;15.1100000000006;212.709999999999;58.6970000000001
717;17.2940000000017;12.4700000000012;156.687000000002;45.2230000000018
766;19.2700000000004;13.380000000001;170.420000000002;46.9010000000017
276;11.8990000000013;7.8080000000009;58.349000000002;19.2949999999983
332;12.0640000000021;8.25400000000081;72.742000000002;20.0620000000017
873;23.5599999999977;14.1610000000001;207.523999999998;58.8469999999979
120;16.9320000000007;6.17599999999948;29.3250000000007;7.02600000000166
297;21.6330000000016;15.0159999999996;66.9150000000009;19.1510000000017
